courseCode,sessionStartDate,sessionEndDate,date,startTime,endTime,trainerName,roomNo,topic
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-07-27,09:00,10:00,2,101,Java
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-07-28,10:05,11:00,2,101,Java
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-07-29,09:00,10:00,2,102,Python
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-07-30,10:05,11:00,2,102,Python
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-07-31,09:00,10:00,2,101,Java
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-08-03,10:05,11:00,2,101,Java
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-08-04,09:00,10:00,2,102,Python
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-08-05,10:05,11:00,2,102,Python
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-08-06,09:00,10:00,2,101,Java
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-08-07,10:05,11:00,2,101,Java
