courseCode,sessionStartDate,sessionEndDate,date,startTime,endTime,trainerName,roomNo,topic
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-08-27,09:00,10:00,trainer2,101,Java
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-08-28,10:05,11:00,trainer2,101,Java
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-08-31,09:00,10:00,trainer2,102,Python
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-09-01,10:05,11:00,trainer2,102,Python
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-09-02,09:00,10:00,trainer2,101,Java
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-09-03,10:05,11:00,trainer2,101,Java
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-09-04,09:00,10:00,trainer2,102,Python
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-09-07,10:05,11:00,trainer2,102,Python
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-09-08,09:00,10:00,trainer2,101,Java
BTECH SAMPLE -2027,2026-07-12,2027-07-12,2026-09-09,10:05,11:00,trainer2,101,Java
